TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_OUT,SW_DIF,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NIGHT,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75
201901010000,201901010030,16.701,0,0.0,0.89,0,392.1,0,2.732,1,101.502,0,0.0,0,0.628,2,-9999,-9999,-9999,0.46,-0.13,0.0,0.8,0.32,391.0,-9999,-9999,10.855,11.853,12.197,12.249,12.406,-9999,12.952,-9999,14.014,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.76733,3.0,0.2652,3,0.394451,-9999,-9999,-9999,-11.8603,3,-17.6349,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.44478,1.44978,1.46533,1.48065,-0.535579,-0.536491,-0.498266,-0.426948,2.82478,1.28016,2.81542,2.85691,0.00185246,0.00399846,0.00412339,0.00423596
201901010030,201901010100,16.498,0,0.0,1.045,0,391.5,0,2.728,1,101.577,0,0.0,0,0.789,2,-9999,-9999,-9999,0.57,-0.16,-0.03,0.9,0.32,390.4,-9999,-9999,10.845,11.848,12.193,12.245,12.402,-9999,12.948,-9999,14.011,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.85309,3.0,0.2652,3,0.394558,-9999,-9999,-9999,-11.8603,3,-17.6397,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.43624,1.44113,1.45637,1.47135,-0.544246,-0.545028,-0.507723,-0.436126,2.77158,1.2559,2.76238,2.80322,0.00217505,0.00469467,0.00484133,0.00497346
201901010100,201901010130,16.345,0,0.0,1.125,0,390.6,0,2.723,1,101.572,0,0.0,0,0.95,2,-9999,-9999,-9999,0.07,-0.17,-0.04,0.9,0.68,389.9,-9999,-9999,10.835,11.843,12.189,12.242,12.399,-9999,12.945,-9999,14.008,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.94027,3.0,0.2652,3,0.39467,-9999,-9999,-9999,-11.8603,3,-17.6439,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.4298,1.43462,1.4496,1.46435,-0.550781,-0.551466,-0.51485,-0.443044,2.73192,1.23782,2.72284,2.7632,0.00234155,0.00505398,0.00521186,0.00535408
201901010130,201901010200,16.268,0,0.0,1.08,0,390.2,0,2.718,1,101.553,0,0.0,0,1.301,2,-9999,-9999,-9999,0.22,-0.16,-0.05,0.8,0.44,389.5,-9999,-9999,10.824,11.838,12.185,12.239,12.396,-9999,12.942,-9999,14.004,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.94027,3.0,0.2652,3,0.394704,-9999,-9999,-9999,-11.8603,3,-17.6457,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.42656,1.43134,1.4462,1.46082,-0.554071,-0.554707,-0.518437,-0.446526,2.71211,1.22878,2.70308,2.7432,0.00224789,0.00485187,0.00500344,0.00513998
201901010200,201901010230,16.175,0,0.0,0.98,0,389.4,0,2.71,1,101.579,0,0.0,0,1.653,2,-9999,-9999,-9999,-0.2,-0.14,-0.04,0.9,0.46,388.9,-9999,-9999,10.814,11.833,12.182,12.235,12.393,-9999,12.939,-9999,14.001,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.94027,3.0,0.2652,3,0.394743,-9999,-9999,-9999,-11.8603,3,-17.649,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.42265,1.42737,1.44209,1.45656,-0.558045,-0.558622,-0.52277,-0.450732,2.6883,1.21793,2.67935,2.71918,0.00203977,0.00440272,0.00454027,0.00466419
201901010230,201901010300,16.11,0,0.0,0.79,0,388.9,0,2.7,1,101.588,0,0.0,0,1.877,2,-9999,-9999,-9999,-1.52,-0.13,-0.02,1.0,1.0,388.6,-9999,-9999,10.804,11.828,12.178,12.232,12.39,-9999,12.936,-9999,13.998,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.0308,3.0,0.2652,3,0.394734,-9999,-9999,-9999,-11.8603,3,-17.6487,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.41991,1.4246,1.43922,1.45359,-0.560823,-0.561359,-0.525798,-0.453672,2.67174,1.21038,2.66284,2.70247,0.00164433,0.00354927,0.00366018,0.00376012
201901010300,201901010330,15.909,0,0.0,0.755,0,387.8,0,0.0,0,101.578,0,0.0,0,2.102,2,-9999,-9999,101.35,-1.86,-0.18,-0.08,0.8,1.07,387.8,-9999,-9999,12.521,12.31,12.289,12.246,12.349,-9999,12.945,-9999,13.99,2,2,2,2,2,-9999,2,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.87695,2.0,-4.951,3,-7.36896,-9999,-9999,-9999,-9.98087,3,-14.8514,-9999,-9999,-9999,1,2.11618,3,-9999,2.11618,2.11618,2.11618,3,3,3,1.41144,1.41604,1.43033,1.44438,-0.699037,-0.704736,-0.699037,-0.683349,2.62097,1.18724,2.61222,2.65123,0.00157148,0.00339205,0.00349805,0.00359357
201901010330,201901010400,15.657,0,0.0,0.69,0,386.6,0,2.672,1,101.586,0,0.0,0,2.117,2,-9999,-9999,-9999,-2.18,-0.19,-0.11,1.0,1.06,386.8,-9999,-9999,10.783,11.818,12.17,12.225,12.383,-9999,12.929,-9999,13.992,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.2121,3.0,0.2652,3,0.394629,-9999,-9999,-9999,-11.8603,3,-17.6446,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.40082,1.40529,1.41918,1.43284,-0.580195,-0.580446,-0.546905,-0.474166,2.55823,1.15864,2.54967,2.5879,0.00143619,0.00310006,0.00319694,0.00328425
201901010400,201901010430,15.431,0,0.0,0.66,0,385.6,0,2.658,1,101.605,0,0.0,0,2.132,2,-9999,-9999,-9999,-2.04,-0.2,-0.12,0.8,0.86,385.9,-9999,-9999,10.773,11.813,12.167,12.221,12.38,-9999,12.926,-9999,13.989,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.3025,3.0,0.2652,3,0.394645,-9999,-9999,-9999,-11.8603,3,-17.6448,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.39129,1.39564,1.40918,1.42248,-0.589867,-0.589976,-0.557435,-0.484393,2.50282,1.13338,2.49442,2.53196,0.00137375,0.0029653,0.00305797,0.00314148
201901010430,201901010500,15.339,0,0.0,0.96,0,385.3,0,2.643,1,101.627,0,0.0,0,2.155,2,-9999,-9999,-9999,-1.24,-0.2,-0.15,0.8,0.56,385.7,-9999,-9999,10.763,11.808,12.163,12.218,12.377,-9999,12.923,-9999,13.986,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.393,3.0,0.2652,3,0.394645,-9999,-9999,-9999,-11.8603,3,-17.6448,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.38741,1.39172,1.40511,1.41827,-0.593805,-0.593857,-0.561722,-0.488556,2.48049,1.12321,2.47216,2.50943,0.00199815,0.00431288,0.00444763,0.00456903
201901010500,201901010530,15.248,0,0.0,1.06,0,384.9,0,2.629,1,101.66,0,0.0,0,2.177,2,-9999,-9999,-9999,-1.18,-0.18,-0.14,0.9,0.5,385.4,-9999,-9999,10.753,11.803,12.159,12.214,12.373,-9999,12.919,-9999,13.983,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.393,3.0,0.2652,3,0.394653,-9999,-9999,-9999,-11.8603,3,-17.6448,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.38357,1.38783,1.40108,1.4141,-0.597701,-0.597701,-0.565962,-0.492675,2.45854,1.11321,2.45027,2.48727,0.00220627,0.00476204,0.00491081,0.00504483
201901010530,201901010600,15.133,0,0.0,1.005,0,384.4,0,2.619,1,101.703,0,0.0,0,1.942,2,-9999,-9999,-9999,-1.19,-0.19,-0.16,0.8,0.4,385.0,-9999,-9999,10.743,11.798,12.155,12.211,12.37,-9999,12.916,-9999,13.98,3,3,3,3,3,-9999,3,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.4811,3.0,0.2652,3,0.394658,-9999,-9999,-9999,-11.8603,3,-17.6448,-9999,-9999,-9999,1,1.98656,3,-9999,1.90213,1.98127,2.0031,3,3,3,1.37872,1.38292,1.39599,1.40883,-0.602626,-0.602626,-0.57132,-0.49788,2.43098,1.10065,2.42279,2.45945,0.0020918,0.00451501,0.00465606,0.00478314
