"TOA5","Hangar","CR800","22390","CR800.Std.24","CPU:temp_rh_draft3.cr8","51088","Test2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","Current","Tair","RelHum","Jct_T","Tdew","Peltier_status","Pump_status","fail_flag"
"TS","RN","","","A","deg C","percent","deg C","C","","",""
"","","Min","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-28 21:20:00",0,12.22,25.22,0.632,25.62,41.47,12.48,12.28,1,1,0
"2024-07-28 21:25:00",1,11.85,25.34,-3.129,26.08,41.3,9.53,12.34,4,1,0
"2024-07-28 21:30:00",2,11.84,25.43,-3.06,26.19,38.94,9.11,10.99,7,1,0
"2024-07-28 21:35:00",3,12.22,25.58,-3.088,26.15,37.54,10.71,9.96,10,1,0
"2024-07-28 21:40:00",4,12.23,25.76,-3.102,26.05,36.75,12.29,10.58,13,1,0
"2024-07-28 21:45:00",5,12.2,25.89,-3.024,26.29,37.26,13.35,11.45,17,1,0
"2024-07-28 21:50:00",6,12.21,25.98,-3.102,26.65,36.89,13.27,10.93,20,1,0
"2024-07-28 21:55:00",7,11.83,26.04,-3.028,26.21,35.62,13.1,10.53,23,1,0
"2024-07-28 22:00:00",8,11.65,26.04,0.675,26.22,35.89,10.84,9.95,26,1,0
"2024-07-28 22:05:00",9,8.77,25.95,-3.037,25.8,36.58,9.62,10.02,29,1,0
"2024-07-28 22:10:00",10,11.73,25.89,-3.021,25.9,36.58,9.09,9.99,32,1,0
"2024-07-28 22:15:00",11,11.76,25.83,-3.088,25.73,36.75,11.1,9.73,35,1,0
"2024-07-28 22:20:00",12,12.1,25.79,0.952,25.69,36.99,13.51,9.74,39,1,0
"2024-07-28 22:25:00",13,12.16,25.79,0.811,25.5,37.36,11.08,9.98,42,1,0
"2024-07-28 22:30:00",14,11.69,25.83,0.729,25.63,37.3,11.11,9.98,45,1,0
"2024-07-28 22:35:00",15,12.26,25.85,0.726,25.25,36.82,11.19,9.85,3,1,0
"2024-07-28 22:40:00",16,11.94,25.92,-3.107,25.17,36.58,10.2,9.09,6,1,0
"2024-07-28 22:45:00",17,12.23,25.98,-2.988,25.31,36.41,9.53,9.14,9,1,0
"2024-07-28 22:50:00",18,12.25,26.07,-3.047,25.54,37.84,11.5,10.78,12,1,0
"2024-07-28 22:55:00",19,12.25,26.13,-3.052,25.91,36.27,12.51,10.56,15,1,0
"2024-07-28 23:00:00",20,12.25,26.19,0.938,26.09,36.13,13.47,10.32,19,1,0
"2024-07-28 23:45:00",21,12.29,25.79,0.584,26.3,44.62,13.1,13.83,1,1,0
"2024-07-28 23:50:00",22,12.28,25.79,-3.161,26.11,41.64,9.51,12.65,4,1,0
"2024-07-28 23:55:00",23,12.28,25.85,-3.157,25.97,38.91,11.97,11.01,7,1,0
"2024-07-29 00:00:00",24,12.27,25.95,0.845,26.14,38.15,13.36,10.96,11,1,0
"2024-07-29 00:05:00",25,12.27,26.13,-3.157,26.19,38.02,9.51,10.33,14,1,0
"2024-07-29 00:10:00",26,12.27,26.31,-3.111,26,37.88,11.77,11.85,17,1,0
"2024-07-29 00:15:00",27,12.27,26.53,0.775,26.77,35.55,13.5,8.19,21,1,0
"2024-07-29 00:20:00",28,12.27,26.68,-3.051,26.96,36.61,9.48,10.91,24,1,0
"2024-07-29 00:25:00",29,12.27,26.87,-3.101,27.01,34.8,11.75,8.07,27,1,0
"2024-07-29 00:30:00",30,12.27,27,0.733,27.12,35.89,13.53,9.04,31,1,0
"2024-07-29 00:35:00",31,12.26,27.12,-3.11,27.11,34.76,9.61,8.11,34,1,0
"2024-07-29 00:40:00",32,12.26,27.21,-3.124,27.07,35.2,11.72,11.18,37,1,0
"2024-07-29 00:45:00",33,12.26,27.34,0.787,27.19,34.96,13.74,8.52,41,1,0
"2024-07-29 00:50:00",34,12.26,27.4,-3.142,27.34,35.61,9.74,10.63,44,1,0
"2024-07-29 00:55:00",35,12.26,27.5,-3.105,27.52,35.1,11.76,11.1,47,1,0
"2024-07-29 01:00:00",36,12.26,27.56,0.726,27.52,34.89,13.71,8.94,51,1,0
"2024-07-29 01:05:00",37,12.26,27.63,-3.073,27.29,34.96,9.69,10.65,54,1,0
"2024-07-29 01:10:00",38,12.26,27.66,-3.114,27.32,36.43,11.8,11.45,57,1,0
"2024-07-29 01:15:00",39,12.26,27.69,0.786,27.37,34.51,13.73,10.82,61,1,0
"2024-07-29 01:20:00",40,12.26,27.72,-3.11,27.31,34.68,10.08,10.44,64,1,0
"2024-07-29 01:25:00",41,12.25,27.72,-3.023,27.46,34.45,9.4,10.31,67,1,0
"2024-07-29 01:30:00",42,12.25,27.72,-3.069,27.45,33.83,12.66,10.04,70,1,0
"2024-07-29 01:35:00",43,12.25,27.72,0.707,27.39,34.03,12.21,10.01,74,1,0
"2024-07-29 01:40:00",44,12.24,27.72,-3.128,27.49,34.07,9.82,9.28,77,1,0
"2024-07-29 01:45:00",45,12.24,27.72,-3.082,27.1,34.1,12.82,10.04,80,1,0
"2024-07-29 01:50:00",46,12.24,27.72,0.774,27.22,34.86,12.46,10.91,84,1,0
"2024-07-29 01:55:00",47,12.24,27.69,-3.087,27.39,35.03,9.85,10.98,87,1,0
"2024-07-29 02:00:00",48,12.22,27.69,-3.101,27.29,34.45,12.78,10.7,90,1,0
"2024-07-29 02:05:00",49,12.22,27.69,0.779,27.23,34.99,12.27,8.59,94,1,0
"2024-07-29 02:10:00",50,12.22,27.66,-3.069,27.19,35.27,9.73,11.14,97,1,0
"2024-07-29 02:15:00",51,12.16,27.63,-3.124,27.28,35.44,12.15,11.06,100,1,0
"2024-07-29 02:20:00",52,12.08,27.59,0.747,26.99,34.31,12.82,10.46,104,1,0
"2024-07-29 02:25:00",53,12.06,27.56,-3.064,26.77,35.95,9.52,11.16,107,1,0
"2024-07-29 02:30:00",54,12.18,27.53,-3.096,26.88,35.37,11.68,10.62,110,1,0
"2024-07-29 02:35:00",55,12.14,27.5,0.789,26.99,33.25,13.45,6.918,114,1,0
"2024-07-29 02:40:00",56,12.17,27.47,-3.073,26.48,35.23,9.76,10.77,117,1,0
"2024-07-29 02:45:00",57,12.17,27.47,-3.115,26.92,34.17,11.79,10.4,120,1,0
"2024-07-29 02:50:00",58,12.17,27.47,0.767,27.2,34.07,13.55,10.36,124,1,0
"2024-07-29 02:55:00",59,12.17,27.47,-3.073,27.01,33.63,9.55,7.232,127,1,0
"2024-07-29 03:00:00",60,12.17,27.47,-3.165,27.11,34.72,9.72,9.53,130,1,0
"2024-07-29 03:05:00",61,12.23,27.47,-3.142,27.42,33.9,10.74,10.04,133,1,0
"2024-07-29 03:10:00",62,12.23,27.5,-3.064,27.32,33.25,11.92,9.84,136,1,0
"2024-07-29 03:15:00",63,12.23,27.5,-3.124,27.38,33.28,12.83,9.83,139,1,0
"2024-07-29 03:20:00",64,12.2,27.5,0.717,27.42,33.9,12.35,10.52,143,1,0
"2024-07-29 03:25:00",65,12.19,27.5,-3.096,27.5,34.31,9.88,10.61,146,1,0
"2024-07-29 03:30:00",66,12.2,27.5,-3.075,27.35,33.49,12.66,9.83,149,1,0
"2024-07-29 03:35:00",67,12.21,27.47,0.757,27.26,34.21,12.84,9.91,153,1,0
"2024-07-29 03:40:00",68,12.21,27.44,0.709,27.1,34.58,11.71,10.55,156,1,0
"2024-07-29 03:45:00",69,12.21,27.4,-3.013,27.03,34.34,10.14,9.13,159,1,0
"2024-07-29 03:50:00",70,12.21,27.4,-3.101,27.11,34.65,12.55,10.31,162,1,0
"2024-07-29 03:55:00",71,12.21,27.37,0.739,26.95,36.7,12.94,11.08,166,1,0
"2024-07-29 04:00:00",72,12.21,27.37,-3.142,26.99,35.23,9.74,10.29,169,1,0
"2024-07-29 04:05:00",73,12.21,27.37,-3.119,26.84,33.59,11.58,7.126,172,1,0
"2024-07-29 04:10:00",74,12.21,27.34,0.939,26.94,35.81,13.47,10.72,176,1,0
"2024-07-29 04:15:00",75,12.21,27.31,0.797,26.84,34.51,13.56,9.83,179,1,0
"2024-07-29 04:20:00",76,12.2,27.28,-3.119,26.65,35.23,10.09,10.02,182,1,0
"2024-07-29 04:25:00",77,12.19,27.25,-3.096,26.84,36.16,9.71,11.07,185,1,0
