Time,T_10cm_C,T_40cm_C,T_100cm_C,T_200cm_C
2015-03-02 12:00:00,6.945190,9.290583,8.387423,10.405229
2015-03-02 13:00:00,7.910410,9.237616,8.395371,10.405730
2015-03-02 14:00:00,9.470695,9.189549,8.403602,10.406230
2015-03-02 15:00:00,11.935322,9.157259,8.412095,10.406731
2015-03-02 16:00:00,14.472051,9.151053,8.420818,10.407231
2015-03-02 17:00:00,16.581965,9.177911,8.429741,10.407730
2015-03-02 18:00:00,21.288184,9.250728,8.438829,10.408229
2015-03-02 19:00:00,23.849375,9.375445,8.448055,10.408728
2015-03-02 20:00:00,24.485959,9.547863,8.457398,10.409225
2015-03-02 21:00:00,22.923790,9.753077,8.466846,10.409722
2015-03-02 22:00:00,20.022731,9.969765,8.476398,10.410217
2015-03-02 23:00:00,16.855521,10.176420,8.486068,10.410712
2015-03-03 00:00:00,14.289910,10.356715,8.495881,10.411205
2015-03-03 01:00:00,12.226761,10.500570,8.505870,10.411697
2015-03-03 02:00:00,10.531243,10.603239,8.516076,10.412188
2015-03-03 03:00:00,8.756672,10.662749,8.526543,10.412678
2015-03-03 04:00:00,7.262676,10.679676,8.537311,10.413166
2015-03-03 05:00:00,5.982549,10.656462,8.548415,10.413653
2015-03-03 06:00:00,4.511955,10.595535,8.559881,10.414139
2015-03-03 07:00:00,3.244884,10.499863,8.571723,10.414623
2015-03-03 08:00:00,2.135957,10.372906,8.583940,10.415106
2015-03-03 09:00:00,1.090111,10.218198,8.596516,10.415587
2015-03-03 10:00:00,0.159930,10.039318,8.609422,10.416068
2015-03-03 11:00:00,0.000000,9.839777,8.622611,10.416547
2015-03-03 12:00:00,0.000000,9.632367,8.636025,10.417024
2015-03-03 13:00:00,2.358430,9.430211,8.649593,10.417501
2015-03-03 14:00:00,6.605537,9.249924,8.663235,10.417976
2015-03-03 15:00:00,11.972324,9.113230,8.676864,10.418450
2015-03-03 16:00:00,17.464236,9.040657,8.690395,10.418924
2015-03-03 17:00:00,22.020386,9.045731,8.703743,10.419396
2015-03-03 18:00:00,25.347179,9.132762,8.716832,10.419867
2015-03-03 19:00:00,26.924381,9.295668,8.729604,10.420338
2015-03-03 20:00:00,26.869732,9.519509,8.742015,10.420808
2015-03-03 21:00:00,25.335605,9.782995,8.754048,10.421277
2015-03-03 22:00:00,22.757072,10.061957,8.765709,10.421746
2015-03-03 23:00:00,20.006082,10.334103,8.777028,10.422214
2015-03-04 00:00:00,18.114707,10.584050,8.788056,10.422683
2015-03-04 01:00:00,16.575860,10.802671,8.798864,10.423151
2015-03-04 02:00:00,15.293586,10.985649,8.809536,10.423619
2015-03-04 03:00:00,14.377145,11.132586,8.820160,10.424087
2015-03-04 04:00:00,13.633043,11.245452,8.830831,10.424555
2015-03-04 05:00:00,13.026475,11.327502,8.841635,10.425023
2015-03-04 06:00:00,12.693875,11.383094,8.852655,10.425492
2015-03-04 07:00:00,12.400907,11.416664,8.863959,10.425961
2015-03-04 08:00:00,12.146171,11.432279,8.875605,10.426431
2015-03-04 09:00:00,11.893898,11.433385,8.887634,10.426901
2015-03-04 10:00:00,11.647781,11.422786,8.900075,10.427372
2015-03-04 11:00:00,11.408166,11.402719,8.912939,10.427844
2015-03-04 12:00:00,11.834424,11.377091,8.926228,10.428316
2015-03-04 13:00:00,13.083955,11.352572,8.939929,10.428790
2015-03-04 14:00:00,14.980994,11.337985,8.954022,10.429264
2015-03-04 15:00:00,18.211705,11.345919,8.968476,10.429739
2015-03-04 16:00:00,21.463392,11.388437,8.983260,10.430215
2015-03-04 17:00:00,24.129838,11.473457,8.998339,10.430692
2015-03-04 18:00:00,26.666716,11.605433,9.013681,10.431170
2015-03-04 19:00:00,27.931290,11.782379,9.029258,10.431649
2015-03-04 20:00:00,28.020159,11.996039,9.045053,10.432129
2015-03-04 21:00:00,27.031691,12.233256,9.061058,10.432610
2015-03-04 22:00:00,24.596298,12.476125,9.077280,10.433092
2015-03-04 23:00:00,21.702687,12.706090,9.093734,10.433575
2015-03-05 00:00:00,19.594653,12.909779,9.110451,10.434059
2015-03-05 01:00:00,17.959336,13.079522,9.127467,10.434545
2015-03-05 02:00:00,16.676666,13.212355,9.144824,10.435032
2015-03-05 03:00:00,15.793885,13.309106,9.162567,10.435519
2015-03-05 04:00:00,15.051779,13.372622,9.180736,10.436009
2015-03-05 05:00:00,14.423066,13.406687,9.199365,10.436499
2015-03-05 06:00:00,13.908880,13.415439,9.218482,10.436991
2015-03-05 07:00:00,13.455015,13.402893,9.238101,10.437485
2015-03-05 08:00:00,13.052934,13.372717,9.258225,10.437980
2015-03-05 09:00:00,12.611907,13.327884,9.278846,10.438476
2015-03-05 10:00:00,12.228851,13.270930,9.299943,10.438975
2015-03-05 11:00:00,11.894080,13.204076,9.321483,10.439475
2015-03-05 12:00:00,12.163230,13.131111,9.343426,10.439977
2015-03-05 13:00:00,13.240308,13.058511,9.365721,10.440481
2015-03-05 14:00:00,14.953812,12.994871,9.388311,10.440987
2015-03-05 15:00:00,17.377413,12.950548,9.411137,10.441496
2015-03-05 16:00:00,19.861893,12.935086,9.434136,10.442007
2015-03-05 17:00:00,21.905041,12.954655,9.457248,10.442520
2015-03-05 18:00:00,23.379089,13.011129,9.480415,10.443036
2015-03-05 19:00:00,23.983808,13.101388,9.503589,10.443555
2015-03-05 20:00:00,23.771541,13.217992,9.526730,10.444076
2015-03-05 21:00:00,22.839094,13.350454,9.549807,10.444601
2015-03-05 22:00:00,20.994632,13.485626,9.572805,10.445129
2015-03-05 23:00:00,18.886802,13.610444,9.595718,10.445660
2015-03-06 00:00:00,17.070100,13.714852,9.618551,10.446194
2015-03-06 01:00:00,15.604936,13.792733,9.641320,10.446732
2015-03-06 02:00:00,14.397124,13.841402,9.664042,10.447274
2015-03-06 03:00:00,13.233899,13.860230,9.686740,10.447820
2015-03-06 04:00:00,12.249505,13.850239,9.709436,10.448370
2015-03-06 05:00:00,11.401838,13.813565,9.732146,10.448925
2015-03-06 06:00:00,9.551881,13.749359,9.754884,10.449483
2015-03-06 07:00:00,8.011472,13.656938,9.777651,10.450047
2015-03-06 08:00:00,6.700153,13.536714,9.800443,10.450615
2015-03-06 09:00:00,5.070126,13.388585,9.823244,10.451188
2015-03-06 10:00:00,3.659096,13.213157,9.846027,10.451765
2015-03-06 11:00:00,2.414249,13.011921,9.868753,10.452348
2015-03-06 12:00:00,3.017556,12.792651,9.891375,10.452936
2015-03-06 13:00:00,5.583098,12.570841,9.913835,10.453529
2015-03-06 14:00:00,9.716107,12.367716,9.936064,10.454128
2015-03-06 15:00:00,15.148314,12.207597,9.957992,10.454732
2015-03-06 16:00:00,20.712511,12.112480,9.979543,10.455342
2015-03-06 17:00:00,25.302110,12.096573,10.000646,10.455958
2015-03-06 18:00:00,28.810110,12.164937,10.021235,10.456579
2015-03-06 19:00:00,30.391913,12.311564,10.041260,10.457205
2015-03-06 20:00:00,30.191098,12.520808,10.060688,10.457838
2015-03-06 21:00:00,27.802016,12.768171,10.079508,10.458476
2015-03-06 22:00:00,24.084843,13.024882,10.097731,10.459121
2015-03-06 23:00:00,20.012351,13.263646,10.115395,10.459771
2015-03-07 00:00:00,16.506953,13.463802,10.132556,10.460427
2015-03-07 01:00:00,13.663647,13.612734,10.149288,10.461088
2015-03-07 02:00:00,11.301086,13.704703,10.165673,10.461756
2015-03-07 03:00:00,9.397529,13.739331,10.181801,10.462430
2015-03-07 04:00:00,7.763144,13.719602,10.197754,10.463109
2015-03-07 05:00:00,6.340069,13.650380,10.213611,10.463794
2015-03-07 06:00:00,5.649404,13.539226,10.229433,10.464484
2015-03-07 07:00:00,4.987458,13.393961,10.245267,10.465180
2015-03-07 08:00:00,4.360460,13.221663,10.261139,10.465882
2015-03-07 09:00:00,3.531177,13.027574,10.277056,10.466589
2015-03-07 10:00:00,2.784128,12.815850,10.293004,10.467301
2015-03-07 11:00:00,2.105702,12.589933,10.308952,10.468018
2015-03-07 12:00:00,2.943911,12.357490,10.324852,10.468740
2015-03-07 13:00:00,5.664135,12.132800,10.340643,10.469467
2015-03-07 14:00:00,9.887934,11.935358,10.356254,10.470199
2015-03-07 15:00:00,15.023534,11.786503,10.371606,10.470935
2015-03-07 16:00:00,20.272903,11.705121,10.386621,10.471676
2015-03-07 17:00:00,24.612724,11.702925,10.401223,10.472420
2015-03-07 18:00:00,27.391698,11.781530,10.415346,10.473169
2015-03-07 19:00:00,28.637003,11.932939,10.428940,10.473921
2015-03-07 20:00:00,28.447162,12.141540,10.441974,10.474677
2015-03-07 21:00:00,26.450908,12.384910,10.454440,10.475436
2015-03-07 22:00:00,23.433256,12.637848,10.466354,10.476198
2015-03-07 23:00:00,20.131344,12.876894,10.477756,10.476963
2015-03-08 00:00:00,18.328832,13.087754,10.488707,10.477731
2015-03-08 01:00:00,16.854805,13.263045,10.499283,10.478502
2015-03-08 02:00:00,15.624213,13.400165,10.509573,10.479275
2015-03-08 03:00:00,14.554861,13.499520,10.519670,10.480050
2015-03-08 04:00:00,13.656304,13.563411,10.529668,10.480827
2015-03-08 05:00:00,12.892161,13.595199,10.539655,10.481606
2015-03-08 06:00:00,11.721006,13.597034,10.549708,10.482387
2015-03-08 07:00:00,10.667710,13.570863,10.559894,10.483169
2015-03-08 08:00:00,9.699453,13.518727,10.570263,10.483952
2015-03-08 09:00:00,8.701678,13.442463,10.580851,10.484737
2015-03-08 10:00:00,7.873406,13.344267,10.591676,10.485522
2015-03-08 11:00:00,7.180704,13.226714,10.602740,10.486308
2015-03-08 12:00:00,7.874224,13.096773,10.614032,10.487094
2015-03-08 13:00:00,9.684053,12.965747,10.625524,10.487881
2015-03-08 14:00:00,12.392379,12.847824,10.637179,10.488667
2015-03-08 15:00:00,15.409691,12.757077,10.648949,10.489454
2015-03-08 16:00:00,18.478919,12.705410,10.660782,10.490240
2015-03-08 17:00:00,21.034827,12.700185,10.672625,10.491025
2015-03-08 18:00:00,24.574682,12.748817,10.684424,10.491810
2015-03-08 19:00:00,26.481295,12.851965,10.696136,10.492594
2015-03-08 20:00:00,26.923924,13.002492,10.707725,10.493377
2015-03-08 21:00:00,25.825263,13.186034,10.719172,10.494158
2015-03-08 22:00:00,23.169713,13.382344,10.730470,10.494939
2015-03-08 23:00:00,19.903332,13.569904,10.741630,10.495717
2015-03-09 00:00:00,17.634277,13.733243,10.752679,10.496494
2015-03-09 01:00:00,15.811049,13.863138,10.763654,10.497269
2015-03-09 02:00:00,14.314034,13.955425,10.774601,10.498042
2015-03-09 03:00:00,12.673802,14.008280,10.785572,10.498814
2015-03-09 04:00:00,11.289558,14.022146,10.796616,10.499583
2015-03-09 05:00:00,10.097785,13.999145,10.807779,10.500350
2015-03-09 06:00:00,8.670895,13.941202,10.819098,10.501114
2015-03-09 07:00:00,7.450881,13.850774,10.830602,10.501877
2015-03-09 08:00:00,6.390147,13.730883,10.842302,10.502636
2015-03-09 09:00:00,5.902333,13.586361,10.854198,10.503394
2015-03-09 10:00:00,5.446846,13.422265,10.866276,10.504149
2015-03-09 11:00:00,5.029104,13.243220,10.878505,10.504901
2015-03-09 12:00:00,6.203802,13.058262,10.890844,10.505651
2015-03-09 13:00:00,8.524559,12.880510,10.903237,10.506398
2015-03-09 14:00:00,11.771296,12.725629,10.915623,10.507142
2015-03-09 15:00:00,17.291970,12.615150,10.927933,10.507884
2015-03-09 16:00:00,22.730967,12.569049,10.940098,10.508623
2015-03-09 17:00:00,27.201983,12.600141,10.952051,10.509359
2015-03-09 18:00:00,31.073842,12.714129,10.963735,10.510093
2015-03-09 19:00:00,32.948786,12.906106,10.975106,10.510824
2015-03-09 20:00:00,33.001872,13.161423,10.986139,10.511552
2015-03-09 21:00:00,30.798743,13.456158,10.996831,10.512278
2015-03-09 22:00:00,27.291776,13.761946,11.007203,10.513001
2015-03-09 23:00:00,23.325330,14.051430,11.017299,10.513721
2015-03-10 00:00:00,20.116685,14.304319,11.027183,10.514438
2015-03-10 01:00:00,17.525434,14.508332,11.036936,10.515153
2015-03-10 02:00:00,15.380216,14.657870,11.046649,10.515866
2015-03-10 03:00:00,13.528184,14.752049,11.056416,10.516576
2015-03-10 04:00:00,11.953502,14.793190,11.066330,10.517283
2015-03-10 05:00:00,10.592377,14.785540,11.076471,10.517988
2015-03-10 06:00:00,9.376896,14.734238,11.086911,10.518690
2015-03-10 07:00:00,8.302991,14.644740,11.097701,10.519390
2015-03-10 08:00:00,7.343356,14.522420,11.108873,10.520088
2015-03-10 09:00:00,6.496031,14.372393,11.120438,10.520783
2015-03-10 10:00:00,5.741869,14.199378,11.132388,10.521475
2015-03-10 11:00:00,5.067730,14.007639,11.144692,10.522166
2015-03-10 12:00:00,6.483877,13.807533,11.157304,10.522854
2015-03-10 13:00:00,9.608396,13.615793,11.170161,10.523539
2015-03-10 14:00:00,14.108666,13.453486,11.183190,10.524222
2015-03-10 15:00:00,19.595113,13.343182,11.196306,10.524903
2015-03-10 16:00:00,25.130981,13.304451,11.209426,10.525582
2015-03-10 17:00:00,29.687085,13.349123,11.222468,10.526258
2015-03-10 18:00:00,33.049713,13.479869,11.235360,10.526931
2015-03-10 19:00:00,34.636807,13.689124,11.248044,10.527603
2015-03-10 20:00:00,34.594179,13.960738,11.260483,10.528272
2015-03-10 21:00:00,32.917216,14.271987,11.272665,10.528939
2015-03-10 22:00:00,30.174149,14.597331,11.284603,10.529604
2015-03-10 23:00:00,27.008306,14.912530,11.296335,10.530266
2015-03-11 00:00:00,24.870474,15.200900,11.307921,10.530926
2015-03-11 01:00:00,23.188312,15.452820,11.319440,10.531585
2015-03-11 02:00:00,21.838655,15.664145,11.330983,10.532241
2015-03-11 03:00:00,20.849786,15.834897,11.342648,10.532895
2015-03-11 04:00:00,20.022167,15.967488,11.354533,10.533547
2015-03-11 05:00:00,19.320978,16.065553,11.366731,10.534197
2015-03-11 06:00:00,18.762667,16.133345,11.379326,10.534846
2015-03-11 07:00:00,18.273244,16.175145,11.392389,10.535492
2015-03-11 08:00:00,17.841026,16.194960,11.405973,10.536137
2015-03-11 09:00:00,17.216636,16.195612,11.420118,10.536780
2015-03-11 10:00:00,16.679618,16.179452,11.434846,10.537422
2015-03-11 11:00:00,16.210181,16.148630,11.450162,10.538062
2015-03-11 12:00:00,16.687211,16.108062,11.466056,10.538700
2015-03-11 13:00:00,19.002998,16.069026,11.482506,10.539337
2015-03-11 14:00:00,22.768060,16.048239,11.499478,10.539973
2015-03-11 15:00:00,27.591871,16.065309,11.516929,10.540607
2015-03-11 16:00:00,32.565401,16.138247,11.534813,10.541240
2015-03-11 17:00:00,36.627949,16.278422,11.553083,10.541871
2015-03-11 18:00:00,39.657533,16.489166,11.571697,10.542502
2015-03-11 19:00:00,40.867424,16.763865,11.590623,10.543131
2015-03-11 20:00:00,40.411676,17.087268,11.609843,10.543759
2015-03-11 21:00:00,37.810025,17.435824,11.629354,10.544386
2015-03-11 22:00:00,34.014593,17.782307,11.649173,10.545013
2015-03-11 23:00:00,29.765073,18.100717,11.669335,10.545638
2015-03-12 00:00:00,26.249265,18.372006,11.689889,10.546263
2015-03-12 01:00:00,23.438896,18.585251,11.710893,10.546887
2015-03-12 02:00:00,21.140317,18.736327,11.732412,10.547511
