Time,Tskin_C,T_10cm_C,T_40cm_C,T_100cm_C,T_150cm_C
2015-03-03 21:00:00,7.117905,0.000000,-0.765806,2.343029,4.881501
2015-03-03 21:00:00,5.235930,0.000000,-0.675724,2.344884,4.881308
2015-03-03 22:00:00,3.087651,0.000000,-0.590722,2.346646,4.881141
2015-03-03 23:00:00,1.273735,0.000000,-0.515172,2.348330,4.881000
2015-03-04 00:00:00,0.595779,0.000000,-0.449783,2.349956,4.880883
2015-03-04 01:00:00,0.172763,0.000000,-0.393783,2.351538,4.880790
2015-03-04 02:00:00,-0.104183,-0.054843,-0.346108,2.353094,4.880719
2015-03-04 03:00:00,-0.171389,-0.098935,-0.305666,2.354635,4.880669
2015-03-04 04:00:00,0.019468,-0.092046,-0.271129,2.356172,4.880640
2015-03-04 05:00:00,0.313397,-0.045800,-0.240987,2.357715,4.880629
2015-03-04 06:00:00,0.808962,0.000000,-0.213415,2.359267,4.880638
2015-03-04 07:00:00,1.155304,0.000000,-0.186974,2.360834,4.880664
2015-03-04 08:00:00,1.419134,0.000000,-0.161050,2.362416,4.880708
2015-03-04 09:00:00,1.619939,0.000000,-0.135777,2.364015,4.880769
2015-03-04 10:00:00,1.669999,0.000000,-0.111223,2.365631,4.880846
2015-03-04 11:00:00,1.676711,0.000000,-0.087980,2.367261,4.880939
2015-03-04 12:00:00,2.246188,0.000000,-0.065932,2.368905,4.881047
2015-03-04 13:00:00,3.392144,0.000000,-0.044176,2.370562,4.881170
2015-03-04 14:00:00,4.846085,0.000000,-0.021770,2.372228,4.881308
2015-03-04 15:00:00,7.272627,0.000000,-0.002448,2.373903,4.881460
2015-03-04 16:00:00,9.247363,0.000000,0.000000,2.375583,4.881627
2015-03-04 17:00:00,10.363779,0.000000,0.000000,2.377264,4.881807
2015-03-04 18:00:00,11.517887,0.000000,0.000000,2.378942,4.882001
2015-03-04 19:00:00,11.704453,0.000000,0.000000,2.380615,4.882208
2015-03-04 20:00:00,11.102623,1.811140,0.000000,2.382277,4.882428
2015-03-04 21:00:00,9.898927,3.730401,0.000000,2.383926,4.882660
2015-03-04 22:00:00,7.311900,3.742398,0.000000,2.385558,4.882905
2015-03-04 23:00:00,4.505500,3.073658,0.000000,2.387172,4.883162
2015-03-05 00:00:00,2.589242,2.247969,0.000000,2.388766,4.883431
2015-03-05 01:00:00,1.532715,1.538115,0.000000,2.390337,4.883711
2015-03-05 02:00:00,0.997865,1.025244,0.000000,2.391885,4.884002
2015-03-05 03:00:00,0.915568,0.720701,0.000000,2.393408,4.884304
2015-03-05 04:00:00,0.859137,0.551722,0.000000,2.394907,4.884617
2015-03-05 05:00:00,0.858713,0.465030,0.000000,2.396381,4.884939
2015-03-05 06:00:00,0.919395,0.432398,0.000000,2.397829,4.885271
2015-03-05 07:00:00,0.971973,0.428394,0.000000,2.399254,4.885612
2015-03-05 08:00:00,1.033220,0.440000,0.000000,2.400654,4.885962
2015-03-05 09:00:00,1.023458,0.447785,0.000000,2.402030,4.886320
2015-03-05 10:00:00,1.040380,0.454641,0.000000,2.403384,4.886687
2015-03-05 11:00:00,1.067054,0.463270,0.000000,2.404715,4.887061
2015-03-05 12:00:00,1.625756,0.561972,0.000000,2.406025,4.887443
2015-03-05 13:00:00,2.714431,0.819534,0.000000,2.407313,4.887832
2015-03-05 14:00:00,4.147419,1.243734,0.000000,2.408581,4.888228
2015-03-05 15:00:00,5.960601,1.835754,0.000000,2.409830,4.888630
2015-03-05 16:00:00,7.485459,2.484715,0.000000,2.411061,4.889038
2015-03-05 17:00:00,8.313474,3.035105,0.000000,2.412273,4.889452
2015-03-05 18:00:00,8.625533,3.414064,0.000000,2.413468,4.889871
2015-03-05 19:00:00,8.150711,3.545042,0.000000,2.414647,4.890296
2015-03-05 20:00:00,7.212330,3.685254,0.000000,2.415811,4.890726
2015-03-05 21:00:00,5.843861,3.623879,0.000000,2.416959,4.891160
2015-03-05 22:00:00,4.009122,3.249391,0.000000,2.418093,4.891598
2015-03-05 23:00:00,2.170761,2.634731,0.000000,2.419214,4.892041
2015-03-06 00:00:00,0.818644,1.938556,0.000000,2.420321,4.892488
2015-03-06 01:00:00,-0.155407,1.269390,0.000000,2.421414,4.892938
2015-03-06 02:00:00,-0.936534,0.681650,0.000000,2.422495,4.893391
2015-03-06 03:00:00,-1.678206,0.178731,0.000000,2.423563,4.893848
2015-03-06 04:00:00,-2.185486,0.000000,0.000000,2.424618,4.894308
2015-03-06 05:00:00,-2.546876,0.000000,0.000000,2.425660,4.894771
2015-03-06 06:00:00,-3.785652,0.000000,-0.000801,2.426691,4.895237
2015-03-06 07:00:00,-4.630250,0.000000,-0.004648,2.427709,4.895705
2015-03-06 08:00:00,-5.314316,0.000000,-0.011156,2.428716,4.896175
2015-03-06 09:00:00,-6.552228,0.000000,-0.020422,2.429711,4.896647
2015-03-06 10:00:00,-7.470256,0.000000,-0.032468,2.430695,4.897122
2015-03-06 11:00:00,-8.256316,0.000000,-0.047307,2.431667,4.897598
2015-03-06 12:00:00,-7.504266,0.000000,-0.063692,2.432628,4.898076
2015-03-06 13:00:00,-4.675020,0.000000,-0.073291,2.433578,4.898556
2015-03-06 14:00:00,-0.708305,0.000000,-0.077873,2.434516,4.899037
2015-03-06 15:00:00,3.796251,0.000000,-0.074584,2.435442,4.899519
2015-03-06 16:00:00,7.079370,0.000000,-0.061500,2.436359,4.900002
2015-03-06 17:00:00,8.696945,0.000000,-0.042677,2.437265,4.900487
2015-03-06 18:00:00,9.540173,0.000000,-0.022589,2.438164,4.900973
2015-03-06 19:00:00,9.154659,0.000000,-0.006759,2.439055,4.901459
2015-03-06 20:00:00,7.754188,0.000000,0.000000,2.439940,4.901946
2015-03-06 21:00:00,5.154366,0.000000,0.000000,2.440820,4.902434
2015-03-06 22:00:00,1.596924,0.000000,0.000000,2.441695,4.902922
2015-03-06 23:00:00,-1.814958,0.000000,0.000000,2.442566,4.903411
2015-03-07 00:00:00,-4.355782,0.000000,-0.000518,2.443433,4.903901
2015-03-07 01:00:00,-5.754381,0.000000,-0.004794,2.444297,4.904390
2015-03-07 02:00:00,-6.663018,0.000000,-0.012551,2.445155,4.904881
2015-03-07 03:00:00,-7.332859,0.000000,-0.023367,2.446010,4.905371
2015-03-07 04:00:00,-7.920427,0.000000,-0.036884,2.446859,4.905862
2015-03-07 05:00:00,-8.190845,0.000000,-0.052603,2.447702,4.906353
2015-03-07 06:00:00,-8.124787,0.000000,-0.062957,2.448540,4.906844
2015-03-07 07:00:00,-8.201579,0.000000,-0.075319,2.449371,4.907335
2015-03-07 08:00:00,-8.445598,0.000000,-0.084980,2.450195,4.907826
2015-03-07 09:00:00,-8.767478,0.000000,-0.099194,2.451012,4.908318
2015-03-07 10:00:00,-8.970285,0.000000,-0.111621,2.451822,4.908809
2015-03-07 11:00:00,-8.978820,0.000000,-0.131360,2.452623,4.909300
2015-03-07 12:00:00,-7.485089,-2.150833,-0.145447,2.453417,4.909792
2015-03-07 13:00:00,-4.310590,-2.477072,-0.163442,2.454201,4.910283
2015-03-07 14:00:00,-0.076495,-1.397276,-0.168434,2.454975,4.910774
2015-03-07 15:00:00,4.257243,0.000000,-0.163070,2.455737,4.911265
2015-03-07 16:00:00,7.439223,0.000000,-0.143908,2.456489,4.911755
2015-03-07 17:00:00,8.948560,0.000000,-0.115207,2.457231,4.912245
2015-03-07 18:00:00,9.236836,0.000000,-0.084140,2.457964,4.912735
2015-03-07 19:00:00,8.770129,0.000000,-0.054379,2.458691,4.913224
2015-03-07 20:00:00,7.569008,0.000000,-0.029336,2.459416,4.913713
2015-03-07 21:00:00,5.462066,0.000000,-0.012935,2.460141,4.914202
2015-03-07 22:00:00,2.736428,0.000000,-0.003579,2.460869,4.914689
2015-03-07 23:00:00,0.354428,0.000000,0.000000,2.461601,4.915176
2015-03-08 00:00:00,-0.382425,-0.013453,0.000000,2.462338,4.915663
2015-03-08 01:00:00,-0.808219,-0.131163,0.000000,2.463079,4.916149
2015-03-08 02:00:00,-0.987678,-0.188325,0.000000,2.463826,4.916634
2015-03-08 03:00:00,-1.075998,-0.230861,-0.001006,2.464576,4.917119
2015-03-08 04:00:00,-1.078419,-0.256124,-0.003715,2.465329,4.917604
2015-03-08 05:00:00,-1.042362,-0.268758,-0.007654,2.466084,4.918088
2015-03-08 06:00:00,-1.429431,-0.292336,-0.011540,2.466841,4.918571
2015-03-08 07:00:00,-2.006119,0.000000,-0.016280,2.467599,4.919055
2015-03-08 08:00:00,-2.667280,-0.223498,-0.021029,2.468356,4.919537
2015-03-08 09:00:00,-3.454477,0.000000,-0.027596,2.469112,4.920020
